davisannb.xml,/ead/archdesc/did/unittitle,"<unittitle encodinganalog=""245"">Ann B. Davis papers <unitdate type=""inclusive"" encodinganalog=""245$f"" normal=""1944/2014""> 1944-2014 </unitdate> <unitdate type=""bulk"" encodinganalog=""245$g"" normal=""1956/2010""> 1956-2010 </unitdate></unittitle>",Ann B. Davis papers 1944-2014 1956-2010,move_and_clean
davisannb.xml,/ead/archdesc/dsc/c01[1]/did/unittitle,"<unittitle>Personal Files, <unitdate type=""inclusive"" normal=""1944/2014"">1944-2014</unitdate></unittitle>","Personal Files, 1944-2014",move_and_clean
davisannb.xml,/ead/archdesc/dsc/c01[1]/c02[2]/did/unittitle,"<unittitle>Biography, <unitdate type=""inclusive"" normal=""1985/1993"">1985-1993</unitdate></unittitle>","Biography, 1985-1993",move_and_clean
davisannb.xml,/ead/archdesc/dsc/c01[1]/c02[3]/did/unittitle,"<unittitle>Clippings, <unitdate type=""inclusive"" normal=""1970/1979"" certainty=""approximate"">1970s</unitdate>-<unitdate type=""inclusive"" normal=""1980/1989"" certainty=""approximate"">1980s</unitdate></unittitle>","Clippings, 1970s-1980s",move_and_clean
davisannb.xml,/ead/archdesc/dsc/c01[1]/c02[4]/did/unittitle,"<unittitle>Letter about Porsche 914-G, <unitdate type=""inclusive"">September 14, 2009</unitdate></unittitle>","Letter about Porsche 914-G, September 14, 2009",move_and_clean
davisannb.xml,/ead/archdesc/dsc/c01[1]/c02[5]/did/unittitle,"<unittitle>Memorials, <unitdate type=""inclusive"" normal=""2014"">2014</unitdate></unittitle>","Memorials, 2014",move_and_clean
davisannb.xml,/ead/archdesc/dsc/c01[1]/c02[6]/did/unittitle,"<unittitle>Paul Henning, <unitdate type=""inclusive"" normal=""2005"">2005</unitdate></unittitle>","Paul Henning, 2005",move_and_clean
davisannb.xml,/ead/archdesc/dsc/c01[1]/c02[7]/did/unittitle,"<unittitle>Religion, <unitdate type=""inclusive"" normal=""1979/2009"">1979-2009</unitdate></unittitle>","Religion, 1979-2009",move_and_clean
davisannb.xml,/ead/archdesc/dsc/c01[1]/c02[7]/c03[1]/did/unittitle,"<unittitle>""The Colorado Experience"", <unitdate type=""inclusive"" normal=""1979"">1979</unitdate></unittitle>","""The Colorado Experience"", 1979",move_and_clean
davisannb.xml,/ead/archdesc/dsc/c01[1]/c02[7]/c03[2]/did/unittitle,"<unittitle>Newsletters, <unitdate type=""inclusive"" normal=""1983/1985"">1983-1985</unitdate>, <unitdate type=""inclusive"" normal=""2009"">2009</unitdate></unittitle>","Newsletters, 1983-1985, 2009",move_and_clean
davisannb.xml,/ead/archdesc/dsc/c01[1]/c02[7]/c03[3]/did/unittitle,"<unittitle>The Open Door, Volume 41 Number 8, <unitdate type=""inclusive"">May 1, 1985</unitdate></unittitle>","The Open Door, Volume 41 Number 8, May 1, 1985",move_and_clean
davisannb.xml,/ead/archdesc/dsc/c01[1]/c02[8]/did/unittitle,"<unittitle>Things I Can't Bear to Part With, <unitdate type=""inclusive"" normal=""1965/1974"">1965-1974</unitdate></unittitle>","Things I Can't Bear to Part With, 1965-1974",move_and_clean
davisannb.xml,/ead/archdesc/dsc/c01[1]/c02[9]/did/unittitle,"<unittitle>Yearbook, <unitdate type=""inclusive"" normal=""1944"">1944</unitdate></unittitle>","Yearbook, 1944",move_and_clean
davisannb.xml,/ead/archdesc/dsc/c01[2]/did/unittitle,"<unittitle>Professional Files, <unitdate type=""inclusive"" normal=""1960/2004"">1960-2004</unitdate></unittitle>","Professional Files, 1960-2004",move_and_clean
davisannb.xml,/ead/archdesc/dsc/c01[2]/c02[1]/did/unittitle,"<unittitle>Lloyd Schwartz, <unitdate type=""inclusive"" normal=""1975/2009"">1975-2009</unitdate></unittitle>","Lloyd Schwartz, 1975-2009",move_and_clean
davisannb.xml,/ead/archdesc/dsc/c01[2]/c02[1]/c03[4]/did/unittitle,"<unittitle>The Nearlyweds, <unitdate type=""inclusive"" normal=""1975"">1975</unitdate></unittitle>","The Nearlyweds, 1975",move_and_clean
davisannb.xml,/ead/archdesc/dsc/c01[2]/c02[1]/c03[5]/did/unittitle,"<unittitle>RIPCO, <unitdate type=""inclusive"" normal=""2009"">2009</unitdate></unittitle>","RIPCO, 2009",move_and_clean
davisannb.xml,/ead/archdesc/dsc/c01[2]/c02[2]/did/unittitle,"<unittitle>MCA Correspondence, <unitdate type=""inclusive"" normal=""1960/1962"">1960-1962</unitdate></unittitle>","MCA Correspondence, 1960-1962",move_and_clean
davisannb.xml,/ead/archdesc/dsc/c01[2]/c02[3]/did/unittitle,"<unittitle>Swiffer, <unitdate type=""inclusive"" normal=""2003/2004"">2003-2004</unitdate></unittitle>","Swiffer, 2003-2004",move_and_clean
davisannb.xml,/ead/archdesc/dsc/c01[2]/c02[3]/c03[1]/did/unittitle,"<unittitle>Advertisements, <unitdate type=""inclusive"" normal=""2003"">2003</unitdate></unittitle>","Advertisements, 2003",move_and_clean
davisannb.xml,/ead/archdesc/dsc/c01[2]/c02[3]/c03[2]/did/unittitle,"<unittitle>Ann B. Davis Media Tour, <unitdate type=""inclusive"">April 7, 2004</unitdate></unittitle>","Ann B. Davis Media Tour, April 7, 2004",move_and_clean
davisannb.xml,/ead/archdesc/dsc/c01[2]/c02[3]/c03[3]/did/unittitle,"<unittitle>Correspondence, <unitdate type=""inclusive"" normal=""2003/2004"">2003-2004</unitdate></unittitle>","Correspondence, 2003-2004",move_and_clean
